,date,trip_count,avgTemp
0,2022-01-01,208,2.0
1,2022-01-02,420,-4.6
2,2022-01-03,326,-9.2
3,2022-01-04,396,-3.6000000000000005
4,2022-01-05,337,-4.6
5,2022-01-06,461,-11.7
6,2022-01-07,167,-14.4
7,2022-01-08,246,-8.0
8,2022-01-09,207,-2.4
9,2022-01-10,340,-10.6
10,2022-01-11,289,-10.5
11,2022-01-12,383,2.3
12,2022-01-13,534,1.9
13,2022-01-14,456,0.8
14,2022-01-15,215,-4.0
15,2022-01-16,230,-6.9
16,2022-01-17,303,-3.7999999999999994
17,2022-01-18,444,-2.0
18,2022-01-19,603,-1.1
19,2022-01-20,376,-10.900000000000002
20,2022-01-21,365,-10.0
21,2022-01-22,347,-5.0
22,2022-01-23,301,-7.1
23,2022-01-24,448,-8.6
24,2022-01-25,515,-12.4
25,2022-01-26,428,-16.6
26,2022-01-27,441,-6.4
27,2022-01-28,340,-5.8
28,2022-01-29,34,-10.1
29,2022-01-30,81,-6.3
30,2022-01-31,226,-1.9
31,2022-02-01,277,2.8
32,2022-02-02,433,-3.4
33,2022-02-03,265,-7.8
34,2022-02-04,199,-7.4
35,2022-02-05,336,-10.8
36,2022-02-06,305,-5.4
37,2022-02-07,309,-3.6999999999999997
38,2022-02-08,584,-4.4
39,2022-02-09,559,2.4
40,2022-02-10,623,-0.1
41,2022-02-11,633,2.4
42,2022-02-12,675,-5.8
43,2022-02-13,226,-9.2
44,2022-02-14,337,-8.4
45,2022-02-15,439,-2.2
46,2022-02-16,581,7.599999999999999
47,2022-02-17,722,1.8000000000000003
48,2022-02-18,507,-8.3
49,2022-02-19,351,-7.1
50,2022-02-20,317,-1.4
51,2022-02-21,528,4.2
52,2022-02-22,393,3.4
53,2022-02-23,728,-5.8999999999999995
54,2022-02-24,481,-4.6
55,2022-02-25,294,-3.6999999999999997
56,2022-02-26,420,-6.2
57,2022-02-27,425,0.2
58,2022-02-28,469,2.6
59,2022-03-01,550,6.9
60,2022-03-02,692,5.2
61,2022-03-03,533,1.1
62,2022-03-04,503,0.6
63,2022-03-05,555,9.2
64,2022-03-06,574,8.6
65,2022-03-07,632,1.3
66,2022-03-08,628,0.1
67,2022-03-09,274,1.3
68,2022-03-10,713,-2.3
69,2022-03-11,704,-4.3
70,2022-03-12,204,-8.1
71,2022-03-13,311,-0.3
72,2022-03-14,651,9.1
73,2022-03-15,812,6.200000000000001
74,2022-03-16,806,9.7
75,2022-03-17,529,14.6
76,2022-03-18,944,7.0
77,2022-03-19,813,4.3
